Date	Link	Text	Title
2022-10-08 04:53:00	https://lenta.ru/news/2022/10/08/saud/	Глава МИД Саудовской Аравии Адель аль-Джубейр в интервью Fox News ответил на претензии США из-за сокращения добычи нефти.Он подчеркнул, что высокие цены на бензин в США — не вина Саудовской Аравии, а следствие нехватки нефтеперерабатывающих заводов (НПЗ) в самих Штатах. «У вас дефицит переработки, вы не строили нефтеперерабатывающие заводы десятилетиями», — заявил министр.При этом аль-Джубейр заверил, что Саудовская Аравия не ставила целью навредить США, а идея об этом «целиком и полностью неверна».Ранее президент США Джо Байден обвинил Россию и Саудовскую Аравию в росте цен на бензин в стране после того, как ОПЕК+ решила резко сократить добычу нефти с ноября текущего года, об этом стало известно 5 октября. Страны должны будут уменьшить производство на два миллиона баррелей в сутки.Крах однополярного мира	В Саудовской Аравии ответили на претензии США из-за сокращения добычи нефти
2022-10-08 00:37:51	https://lenta.ru/news/2022/10/08/mvf/	Исполнительный совет Международного валютного фонда (МВФ) в пятницу, 7 октября, одобрил предоставление Украине 1,3 миллиарда долларов в рамках инструмента МВФ для ускоренного финансирования. Об этом говорится в заявлении на сайте организации.Согласно документу, средства выделяются на «удовлетворение всех потребностей, связанных с финансированием платежного баланса» страны, в частности в продовольственной сфере. В МВФ считают, что эти деньги также «сыграют стимулирующую роль для дальнейшей финансовой поддержки со стороны кредиторов и доноров Украины».В фонде прогнозируют, что ВВП Украины сократится на 35 процентов в 2022 году.Глава МВФ Кристалина Георгиева в своем Twitter-аккаунте подтвердила выделение Украине 1,3 миллиарда долларов.В сентябре премьер-министр Украины Денис Шмыгаль сообщил, что Украина смогла договориться с Международным валютным фондом и в этом году получит 2,8 миллиарда долларов. Он также отметил, что еще 500 миллионов долларов на покупку газа на зимний период Украина получит от Великобритании.	МВФ выделил 1,3 миллиарда долларов Украине
2022-10-07 21:31:00	https://lenta.ru/news/2022/10/07/sakhalin/	Президент России Владимир Путин подписал указ о создании нового оператора проекта «Сахалин-1». Документ опубликован на официальном интернет-портале правовой информации.Указом правительству поручено создать нового оператора проекта «Сахалин-1», который получит права и обязанности участников проекта и оператора Exxon Neftegas. Новое ООО получит все имущество консорциума в рамках соглашения о разделе продукции по «Сахалину-1».Новым управляющим оператором «Сахалина-1» станет «дочка» «Роснефти» «Сахалинморнефтегаз-Шельф», она получит в новом операторе 11,5 процента, еще 8,5 процента перейдут к другой дочке «Роснефти» — «РИ-Астра». Остальные 80 процентов пока будут переданы новому оператору, до тех пор, пока они не будут переданы остальным участникам.Материалы по теме:Россия хочет отказаться от доллара и называет его токсичным.Стоит ли держать в нем свои сбережения?9 сентября 2022Беспрецедентные разрушения на «Северном потоке»:что известно о диверсии на главном газопроводе из России в Европу?27 сентября 2022«Действительно большая дыра»Газопровод «Северный поток» пострадал от мощных взрывов. Сможет ли Европа пережить зиму?27 сентября 2022Иностранные участники «Сахалина-1» должны в течение месяца представить правительству уведомления о согласии или отказе от перерегистрации доли в проекте на нового оператора.Ранее губернатор Сахалинской области Валерий Лимаренко заявил об остановке добычи нефти на проекте «Сахалин-1». Он отметил, что за семь месяцев текущего года объем добычи нефти и конденсата уменьшился почти вдвое по сравнению с аналогичным периодом прошлого года. Глава региона напомнил, что в апреле компания Exxon Neftegas Limited «уведомила о снижении объемов добычи со ссылкой на обстоятельства форс-мажора».В Минэнерго России заявили, что рассчитывают на скорейшее возобновление добычи нефти и газа на проекте «Сахалин-1» и имеет варианты по его запуску, риска консервации скважин на проекте в связи с его остановкой нет.В конце августа американская нефтяная компания ExxonMobil пригрозила властям России судебным иском в случае, если ей не позволят продать долю в совместном проекте «Сахалин-1» и окончательно выйти из него.ExxonMobil принадлежит 30 процентов в «Сахалине-1». Остальной капитал распределен между «Роснефтью» (20 процентов), индийской ONGC (20 процентов) и японским SODECO (30 процентов).	Путин подписал указ о создании нового оператора проекта «Сахалин-1»
2022-10-07 19:11:00	https://lenta.ru/news/2022/10/07/semi_ch/	Администрация президента США объявила о новых ограничениях, касающихся продажи полупроводников Китаю, сообщает The New York Times. В Вашингтоне считают, что таким образом найден способ ударить по доступу Пекина к ключевым технологиям, необходимым в самых различных секторах.Шаг можно считать самым заметным сигналом того, что противостояние между державами все больше разыгрывается в сфере технологий, а США намерены давить на оппонента именно в этой области. Меры Министерства торговли, помимо прочего, должны сказаться и на прогрессе военных программ Китая. Предполагается, что поставки чипов и оборудования для их производства будут возможны только по особой лицензии.По уточнению Reuters, теперь китайские компании Megvii Technology, Dahua Technology и IFLYTEK лишатся доступа к полупроводникам, произведенным в любой стране мира с использованием американских технологий. По данным РИА Новости, Бюро промышленности и безопасности Минторга также вводит ограничения на поставки 28 китайским компаниям продукции для выпуска суперкомпьютеров и полупроводников.О планах ввести ограничения в отношении сферы полупроводников ранее в октябре сообщало Bloomberg. Предполагалось, что . санкции против отрасли могут затронуть технологии, связанные с производством высокотехнологичных чипов памяти, квантовые компьютеры и передовые компоненты, необходимые для создания микросхем.	США нашли способ ударить по доступу Китая к ключевым технологиям
2022-10-07 17:00:00	https://lenta.ru/news/2022/10/07/ecbbanki/	Европейский центробанк (ЕЦБ) ужесточает требования к банкам и призвал некоторые кредитные организации к экономии. В частности, регулятор  посоветовал сдержанно подойти к выплате бонусов и дивидендов за 2022 год из опасений, что экономическая ситуация в Европе может ухудшиться. Об этом стало известно Bloomberg.Говоря об опасениях ЕЦБ, собеседники агентства, уточнили, что регулятор не исключает волны дефолтов из-за энергетического кризиса, а на их покрытие потребуются деньги. В качестве возможного сценария ЕЦБ сейчас рассматривает более резкое замедление экономики, чем ожидалось.По итогам сентября годовая инфляция в 19 странах еврозоны впервые в истории существования этого валютного объединения достигла рекордных 10 процентов. В прошлом году в сентябре инфляция составляла 3,4 процента в годовом выражении. В этом году в месячном выражении цены за сентябрь выросли на 1,2 процента.Опрошенные Bloomberg аналитики предсказывали, что страны еврозоны с вероятностью 80 процентов столкнутся с рецессией в первые два квартала 2023 года. Для борьбы с инфляцией, которая, вероятно, достигнет максимума к концу года, ЕЦБ повысит депозитную ставку на 75 базисных пунктов до пика в 2 процента уже к февралю, предсказывают экономисты.	От европейских банков потребовали экономии
2022-10-07 15:55:00	https://lenta.ru/news/2022/10/07/natzval/	Страны, которые входят в СНГ, переходят на расчеты в национальных валютах давно, и это не привязано к политической конъюнктуре. Об этом заявил президент России Владимир Путин, его слова приводит ТАСС.По его мнению, новая схема расчетов позволит укрепить суверенитет стран и углубить интеграцию. «Это будет способствовать укреплению финансового суверенитета наших государств, развитию внутренних рынков капитала, углублению региональной экономической интеграции», — объяснил он.Путин также высказался о ситуации на Украине, назвав происходящие там события трагическими. Он добавил, что конфликты происходят и между другими странами СНГ. По его словам, это требует выработки мер по их разрешению.Такие заявления были сделаны на неформальной встрече глав стран СНГ, которая проходит 7 октября.	Путин объяснил переход стран СНГ на расчеты в нацвалютах
2022-10-07 15:22:40	https://lenta.ru/news/2022/10/07/genius/	Президент Белоруссии Александр Лукашенко подписал директиву о недопустимости роста цен в стране. В том числе она запрещает отменять различные скидки и акции, если в результате стоимость товара вырастет. Об этом со ссылкой на пресс-службу главы государства пишет РИА Новости.Документ, как подчеркнули в аппарате президента, принят для незамедлительного и жесткого реагирования на ситуацию на потребительском рынке. Речь идет о создании эффективной системы ценового контроля и обеспеченности внутреннего спроса.Одновременно с запретом повышать цены введены обязательства по безусловному насыщению рынка товарами и услугами. За неисполнение установленных директив виновным, в первую очередь директорам предприятий и бизнесменам, грозит ответственность вплоть до уголовной.Контролировать наличие товаров и цены на них поручено Генеральной прокуратуре и Комитету госконтроля. До 20 октября правительство должно утвердить и ввести в действие систему регулирования цен, а также разработать систему их отслеживания.Материалы по теме:Трактор заглохЭкономические успехи Лукашенко оказались блефом. Как белорусы разочаровались в нем?9 сентября 2020Белорусская экономика оказалась на грани катастрофы. Почему Россия вынуждена спасать ее?2 июня 20216 октября Лукашенко назвал недопустимым текущий уровень инфляции, превышающий 15 процентов (при целевом уровне 6 процентов), и обвинил в происходящем спекулянтов, сознательно завышающих цены. При этом он признал, что ограничение еще недавно выглядело абсолютно нереальным и нерыночным, но теперь в стране под контроль можно взять «абсолютно любой процесс, если есть желание».	Лукашенко запретил отменять скидки по акции
2022-10-07 13:48:00	https://lenta.ru/news/2022/10/07/dadut/	Россия и Белоруссия достигли окончательной договоренности о выделении 1,5 миллиарда долларов на проекты в области импортозамещения. Из этой суммы 330 миллионов долларов ожидаются уже до конца 2022 года. Такие перспективы, выступая перед представителями силового блока по вопросам военно-политической и социально-экономической обстановки, раскрыл премьер Белоруссии Роман Головченко, передает ТАСС.По его словам, на эти деньги запустят семь проектов, в основном в сфере машиностроения. Они необходимы для локализации иностранных компонентов к технике различных классов.Головченко заявил, что перед страной стоит задача обеспечения «технологического суверенитета и независимости». По его мнению, страны Запада, отказавшиеся продолжать поставки своих технологий в Россию и Белоруссию, хотят нанести ущерб благосостоянию людей, вызвать недовольство и социальную напряженность в обществе.Белорусский премьер признал, что страна оказалась не полностью готова к такому давлению, но попыткам разрушить страну власти противопоставили «системную работу в мобилизационном режиме».В рамках демонстрации успехов белорусского импортозамещения президент страны Александр Лукашенко 1 сентября продемонстрировал первый созданный в стране ноутбук. При этом он уточнил, что белорусские предприятия выпускают только 12 процентов комплектующих устройства.До этого Лукашенко возмутился, что в мотоцикле Минск, который ему представили как успех отечественных разработок, все детали, включая фары, щитки и шины, оказались иностранного производства.	В Белоруссии раскрыли сумму ожидаемых от России до конца года средств
2022-10-07 13:28:50	https://lenta.ru/news/2022/10/07/borrell/	В ЕС нашли объяснение решению ОПЕК+ снизить добычу нефти — глава европейской дипломатии Жозеп Боррель заявил, что оно связано с намерением Запада установить потолок цен на топливо из России. Его слова цитирует РИА Новости.«Решение ОПЕК снизить поставки нефти является явным ответом на наше предложение ограничить цены на нефть», — сказал Боррель перед началом неформального европейского саммита в Праге. По его словам, сегодня энергетика стала «главным геостратегическим вопросом, связанным с войной и балансом сил в мире».С ноября члены организации договорились снизить добычу нефти на 2 миллиона баррелей в сутки от согласованных на август уровней производства. Как объяснили в ОПЕК+, мера направлена на сдерживание падения цен на мировом рынке на фоне опасений инвесторов относительно дальнейшего сокращения спроса. Материалы по теме:«Действительно большая дыра»Газопровод «Северный поток» пострадал от мощных взрывов. Сможет ли Европа пережить зиму?27 сентября 2022На «Северном потоке» обнаружили беспрецедентные разрушения27 сентября 2022В Белом доме назвали решение необоснованным и ненужным, а также пророссийским. Кроме того, США уже приготовили ответную меру — поставить на рынок дополнительные объемы из своих стратегических запасов.По мнению аналитиков, теперь цены на нефть скорректируются и закрепятся в диапазоне 90-105 за баррель. Тем не менее, для России снижение экспорта нефти обернется дополнительным падением нефтегазовых доходов, которые и без того находятся на многомесячном минимуме и делают бюджет дефицитным.	В ЕС нашли объяснение решению ОПЕК+ снизить добычу нефти
2022-10-07 12:37:00	https://lenta.ru/news/2022/10/07/garantii_putin/	Российский президент Владимир Путин подписал закон, который включает поправки о трудовых гарантиях мобилизованных на военную службу граждан. Текст федерального закона появился на официальном портале правовой информации.Согласно документу, договор работника, проходящего службу по мобилизации, не расторгается, а приостанавливается. У работодателя есть право расторжения договора, только если работник не возобновил трудовую деятельность в течение трех месяцев после демобилизации. При этом стаж мобилизованного, а также стаж по специальности, как отмечается, продолжат засчитываться даже после приостановки с ним договора. Кроме того, в законе сказано, что работодатель до дня приостановления договора обязан выплатить мобилизованному работнику оставшуюся заработную плату в полном объеме.Помимо этого, как сообщается, действие договора возобновляется в день выхода мобилизованного на свою прежнюю должность. О том, что демобилизованный возвращается на работу, необходимо сообщить работодателю за три рабочих дня. В течение шести месяцев после возобновления договора мобилизованный имеет право подготовиться к ежегодному оплачиваемому отпуску и тем самым сделать перерыв на отдых.В конце сентября парламентарии внесли поправки в ТК РФ о сохранении рабочих мест за мобилизованными, которые после демобилизации будут готовы вернуться в компанию на тот же пост. Помимо этого, родственники мобилизованных будут иметь право сохранения работы при сокращении численности штата в организации.24 февраля было объявлено о начале специальной операции в Донбассе. Таким образом Россия отреагировала на просьбы о военной помощи глав ДНР и ЛНР. 21 сентября была объявлена частичная мобилизация в России. В Минобороны отметили, что всего собираются призвать в ряды ВС РФ 300 тысяч резервистов.	Путин подписал закон о трудовых правах мобилизованных
2022-10-07 12:18:00	https://lenta.ru/news/2022/10/07/embargo/	Российское Минэнерго зафиксировало снижение производства угля за январь-август менее чем на один процент, а также снижение поставок за рубеж, однако конкретные цифры по экспорту в ведомстве не назвали. Такие сведения приводит ТАСС со ссылкой на замглавы министерства Сергея Мочальникова.Говоря о снижении показателей, замминистра напомнил, что с 10 августа действует эмбарго ЕС на поставки угля из России. Тем не менее, отметил Мочальников, спад экспорта в значительной степени компенсирован повышенным спросом на внутреннем рынке — с начала года он вырос более чем на 7 миллионов тонн. Но развитие отрасли по-прежнему связано с поиском новых логистических цепочек для переориентации экспортных потоков, заключил он.Материалы по теме:Силы небесные.Почему опытные бизнесмены и инвесторы отдают астрологам миллионы долларов?25 сентября 2022Не рассчитали.Тысячи россиян решили временно жить за границей. С какими трудностями они столкнулись?23 сентября 2022Тем не менее за счет угледобытчиков Минфин надеется собрать в бюджет дополнительные 30 миллиардов рублей. В сентябре стало известно, что ведомство решило ослабить фискальную нагрузку на черную металлургию, но увеличить ее для угольной отрасли — кроме введения экспортных пошлин, власти повысят налог на добычу полезных ископаемых (НДПИ) на уголь. Минфин подготовил соответствующие поправки в Налоговый кодекс.	Добыча угля в России снизилась на 1 процент
2022-10-07 12:03:53	https://lenta.ru/news/2022/10/07/kreditniekanikyli/	С 7 октября Сбербанк начал оформлять кредитные каникулы для мобилизованных и участников спецоперации. Об этом сообщается в пресс-релизе, поступившем в редакцию «Ленты.ру».Так, военнослужащие могут получить отсрочку по ипотечным и потребительским кредитам на весь срок службы, а также на 30 дней после ее окончания. Срок кредита будет увеличен на срок не менее льготного периода. Во время действия каникул будут продолжать начисляться проценты на условиях, установленных законом. В течение льготного периода можно будет платить по кредиту в счет его досрочного погашения.«Забота о клиентах — основной приоритет Сбербанка. И чтобы оперативно поддержать наших заемщиков-военнослужащих в этот важный период для всей страны, мы начали принимать предварительные заявки на новую госпрограмму кредитных каникул еще с 30 сентября», — заявил первый заместитель председателя правления Сбербанка Александр Ведяхин.Воспользоваться кредитными каникулами могут мобилизованные; военнослужащие, проходящие службу в Вооруженных силах по контракту; сотрудники Нацгвардии, силовых ведомств, пограничники, задействованные в спецоперации; добровольцы, заключившие контракт; члены семей перечисленных категорий.7 октября президент России Владимир Путин подписал закон, предоставляющий мобилизованным и членам их семей право на кредитные каникулы. Документ опубликован на официальном портале правовой информации.	Сбербанк начал оформлять кредитные каникулы для мобилизованных
2022-10-06 22:49:00	https://lenta.ru/news/2022/10/06/europe/	Обозреватель Зоран Метер предрек катастрофические последствия европейской экономике на фоне небывалого энергетического кризиса. Такой прогноз он дал в своей статье для Geopolitika.news.По его словам, предсказать окончание тяжелейшего кризиса в странах Евросоюза (ЕС) пока невозможно, а самые сложные времена еще впереди. Как именно происходящее отразится на будущем экономики, социальной сферы и безопасности остается неизвестным. Метер отметил, что разум у европейских политиков иссяк. Лидеры ЕС продолжают убеждать, что найдут замену российскому топливу, но альтернатива энергоносителям из России потребует больших затрат, подчеркнул обозреватель.Он заявил, что Европа планомерно шла к сложившемуся положению. Организация по собственной инициативе перешла от долгосрочных газовых договоров к спотовым поставкам, а ситуация на Украине только ухудшила ситуацию, указал Метер. Он также осудил европейских политиков за уверения, что ЕС переживет грядущую зиму без российского газа, если придерживаться экономии.Материалы по теме:Дело в трубе.Россия требует от Запада платить за газ в рублях. Что будет, если Европа откажется?5 апреля 2022Поднажмут за газ.Европа хочет отказаться от российского газа. Почему это практически невозможно?15 марта 2022Обозреватель охарактеризовал следование ЕС антироссийской политике и угрозы ввести новые санкции как самоубийственный инстинкт. Он предостерег о последствиях установки потолка цен на российские энергоносители, которая приведет к прекращению поставок в Европу. Метер напомнил, что ситуация уже оставляет желать лучшего, в частности, на фоне случившегося на газопроводах «Северный поток» и «Северный поток-2».Под угрозой оказался и транзит через Украину, заявил он. Италия также столкнулась с серьезными трудностями, поскольку невзирая на контракт с Алжиром, ей так и не удалось полностью заместить выпадающий объем импорта из России, а полагаться на альтернативные источники энергии нельзя.Ранее стало известно о намерении ЕС ввести новые ограничения на перевозку российской нефти. При новых санкциях европейским судам запретят перевозить топливо из России, если его цена превысит определенный порог.	Европейской экономике предрекли катастрофические последствия из-за энергокризиса
2022-10-06 19:59:00	https://lenta.ru/news/2022/10/06/zapretobsluj/	ЕС запретит обслуживать суда третьих стран, которые перевозят российскую нефть, если ее цена оказывается выше установленного потолка. Об этом говорится в «Официальном журнале ЕС».В документе прописано, что таким судам будет запрещено оказывать техническое обслуживание, брокерские услуги, финансирование и финансовую помощь, включая страхование в будущих перевозках.    Brent от TradingView     Ранее Евросоюз утвердил восьмой пакет санкций против России. Среди новых мер — введение потолка цен на российскую нефть, персональные ограничения против физических лиц, запрет на импорт ряда товаров. В Россию также нельзя будет поставлять электронные компоненты, используемые при создании оружия и авиации. Помимо этого, вводится запрет на оказание российским компаниям финансовых, юридических и IT-услуг, а также на предоставление криптокошельков.В Кремле, говоря о введении потолка нефтяных цен, указали, что это может навредить всему миру. Как сказал пресс-секретарь президента Дмитрий Песков, подобные ограничительные решения могут «внести очень деструктивное влияние в будущие горизонты энергетических рынков».	ЕС запретит обслуживать суда с подсанкционной российской нефтью
2022-10-06 17:56:00	https://lenta.ru/news/2022/10/06/fondrinok/	Британский фондовый рынок потерял 300 миллиардов фунтов стерлингов (340 миллиардов долларов) за первый месяц премьерства Лиз Трасс, пишет Bloomberg. Издание оценивало динамику стоимости ценных бумаг страны со 2 сентября — последнего дня торгов перед избранием Трасс — по 6 октября.Аналитики винят в столь резком падении новое правительство, запланировавшее масштабную налоговую реформу. В сентябре инвесторы начали опасаться, что снижение налогов приведет к росту суверенного долга страны, и начали активно избавляться от британских активов. Распродажа на фондовом рынке привела к рекордному падению фунта по отношению к доллару.16 сентября британская валюта упала до минимальной отметки в 1,135 доллара впервые с марта 1985 года. «Отзывы, которые мы получаем от инвесторов, заключаются в том, что они считают Великобританию непригодной для инвестиций, пока существует такой правительственный хаос», — заявил стратег компании Liberum Capital Йоахим Клемент.Материалы по теме:Не рассчитали.Тысячи россиян решили временно жить за границей. С какими трудностями они столкнулись?23 сентября 2022«Действительно большая дыра»Газопровод «Северный поток» пострадал от мощных взрывов. Сможет ли Европа пережить зиму?27 сентября 2022Британский Минфин решил отменить повышение налога на корпоративную прибыль с 19 до 26 процентов, а также снизить подоходный налог с 20 до 19 процентов. Кроме того, власти решили отменить 45-процентный налог на доходы самых богатых британцев, получающих свыше 150 тысяч фунтов. Как объяснил министр финансов Великобритании Квази Квартенг, мера должна простимулировать экономический рост страны. Из-за снижения налогов бюджет государства недополучит 45 миллиардов фунтов в год, что сопоставимо с 1,8 процента ВВП.3 октября Квартенг написал в своем Twitter, что правительство отказалось от планов отменить 45-процентную ставку подоходного налога для самых богатых жителей. 5 октября Лиз Трасс попыталась развеять опасения рынка, пообещав сохранить «железную хватку» в управлении финансами страны и снизить размер госдолга, писал Bloomberg. Тем не менее фунт продолжил снижаться в день ее выступления, упав на 1,3 процента до 1,13 доллара.	Лиз Трасс обвинили в многомиллиардных потерях британского фондового рынка
